GreedyTotal,GreedyAdditional,FICBPL_E,UnifyGreedy,ARTMaxMin,Genetic,PAdditional5
0.576,0.93175,0.9566875,0.849875,0.9311875,0.93325,0.93125
0.5754374999999999,0.9328125,0.9566875,0.849875,0.9413125,0.953375,0.9505
0.576,0.93325,0.9566875,0.849875,0.9299375,0.9294375,0.940625
0.5756875,0.9279375,0.9566875,0.849875,0.93775,0.9375,0.9454375
0.575125,0.923625,0.9566875,0.849875,0.9231874999999999,0.9288125,0.9386875
0.5758125,0.9418125,0.9566875,0.849875,0.93175,0.93925,0.9240625
0.576,0.925375,0.9566875,0.849875,0.930875,0.9383125,0.955
0.5752499999999999,0.927875,0.9566875,0.849875,0.92425,0.930625,0.9318125
0.5756875,0.921,0.9566875,0.849875,0.921875,0.932125,0.9395625
0.5758125,0.9278125,0.9566875,0.849875,0.93025,0.93925,0.9395625
0.5751875000000001,0.9305,0.9566875,0.849875,0.9236875,0.9213125,0.9398125
0.5753125,0.9420000000000001,0.9566875,0.849875,0.9110625,0.948875,0.9335625
0.5753750000000001,0.9500625,0.9566875,0.849875,0.93825,0.9434375,0.92725
0.5754374999999999,0.9400625,0.9566875,0.849875,0.9198125,0.9393125,0.9478125000000001
0.5755625,0.920625,0.9566875,0.849875,0.9365,0.961,0.9375625
0.5755,0.9206875,0.9566875,0.849875,0.9286875,0.923875,0.9371875
0.5760625,0.9481875,0.9566875,0.849875,0.9238125,0.9265,0.94325
0.5752499999999999,0.931375,0.9566875,0.849875,0.9225625000000001,0.9320625,0.9298125
0.5749375,0.9355625,0.9566875,0.849875,0.950375,0.949625,0.9460625
0.57575,0.9304375,0.9566875,0.849875,0.9315,0.9145625000000001,0.95275
0.57575,0.9366875,0.9566875,0.849875,0.9199375,0.9338125,0.9460625
0.575875,0.938875,0.9566875,0.849875,0.8989375000000001,0.943375,0.944625
0.5753125,0.9256875,0.9566875,0.849875,0.9313125,0.9328125,0.9588125
0.576,0.940625,0.9566875,0.849875,0.9226875,0.9445,0.932875
0.57575,0.9213749999999999,0.9566875,0.849875,0.94125,0.926,0.9345
0.5753750000000001,0.9280625,0.9566875,0.849875,0.9593125,0.9133125,0.9323125
0.5754374999999999,0.9150625,0.9566875,0.849875,0.9224375,0.951875,0.93275
0.5756249999999999,0.9455625,0.9566875,0.849875,0.93075,0.9127500000000001,0.9338125
0.576,0.9336875,0.9566875,0.849875,0.9306875,0.9243125,0.92375
0.5753750000000001,0.9309375,0.9566875,0.849875,0.93075,0.9374375,0.9465625
0.5751875000000001,0.9435625,0.9566875,0.849875,0.9276875,0.9136875,0.9459375
0.5755,0.9484375,0.9566875,0.849875,0.919,0.928875,0.9306875
0.5753750000000001,0.9263125,0.9566875,0.849875,0.922625,0.912375,0.9394375
0.5758125,0.9214375,0.9566875,0.849875,0.931625,0.9419375,0.95975
0.5756249999999999,0.9201875,0.9566875,0.849875,0.9434375,0.924,0.9345
0.575875,0.932,0.9566875,0.849875,0.9296875,0.9145625000000001,0.931375
0.57575,0.92375,0.9566875,0.849875,0.9175625,0.9546875,0.9341875000000001
0.57575,0.9261875,0.9566875,0.849875,0.9458125000000001,0.9283750000000001,0.9365
0.576,0.94025,0.9566875,0.849875,0.9431875,0.928,0.939625
0.5750624999999999,0.921,0.9566875,0.849875,0.9315625,0.9153749999999999,0.9355
0.5752499999999999,0.9250625,0.9566875,0.849875,0.9488125,0.91225,0.9588125
0.5758125,0.9260625,0.9566875,0.849875,0.934125,0.91575,0.949
0.5756249999999999,0.9304375,0.9566875,0.849875,0.917125,0.9285,0.942625
0.5753125,0.926625,0.9566875,0.849875,0.9366875,0.913375,0.940125
0.576,0.9285625,0.9566875,0.849875,0.9388125,0.946875,0.9586875
0.5755625,0.9233125,0.9566875,0.849875,0.9283125,0.926125,0.952875
0.5758125,0.9428124999999999,0.9566875,0.849875,0.927875,0.9351875,0.9555625
0.5755625,0.927625,0.9566875,0.849875,0.9289375,0.9253125,0.9306875
0.5756875,0.9299375,0.9566875,0.849875,0.93475,0.9335,0.9298125
0.5756249999999999,0.935625,0.9566875,0.849875,0.919,0.9434375,0.9525625
0.5756249999999999,0.9305,0.9566875,0.849875,0.944375,0.92525,0.932125
0.5753125,0.929125,0.9566875,0.849875,0.9435,0.9115624999999999,0.95275
0.5755,0.926875,0.9566875,0.849875,0.918875,0.939,0.9335
0.5755625,0.9329999999999999,0.9566875,0.849875,0.9259375,0.930875,0.94425
0.5756249999999999,0.927375,0.9566875,0.849875,0.9179375,0.9221875,0.9579375
0.5755625,0.9363125,0.9566875,0.849875,0.9390625,0.9475,0.9483125
0.5753750000000001,0.9435625,0.9566875,0.849875,0.9215,0.9349999999999999,0.952875
0.5755,0.92475,0.9566875,0.849875,0.9100625,0.9445,0.924125
0.5756249999999999,0.9288125,0.9566875,0.849875,0.936875,0.9520625,0.9379375
0.5756249999999999,0.9389375,0.9566875,0.849875,0.918,0.9334375,0.935125
0.5753125,0.925375,0.9566875,0.849875,0.9263125,0.949625,0.9320625
0.5753125,0.9273125,0.9566875,0.849875,0.9196875,0.9333125,0.9565
0.5756249999999999,0.9263750000000001,0.9566875,0.849875,0.927,0.91125,0.9365
0.5755625,0.9166875,0.9566875,0.849875,0.9513125,0.9213125,0.9406875
0.5755,0.9215,0.9566875,0.849875,0.9458125000000001,0.9503125,0.9473125
0.5759375,0.9469375,0.9566875,0.849875,0.9155625,0.9169375,0.9545
0.5755625,0.921625,0.9566875,0.849875,0.9165625000000001,0.9384375,0.9405
0.576125,0.9229375,0.9566875,0.849875,0.929,0.9345625,0.9415625
0.5759375,0.92975,0.9566875,0.849875,0.92325,0.932125,0.9425
0.5753750000000001,0.944625,0.9566875,0.849875,0.932625,0.928125,0.9528125
0.576,0.9449375,0.9566875,0.849875,0.9489375,0.95825,0.962125
0.5755625,0.9175625,0.9566875,0.849875,0.9429375,0.946625,0.9479375
0.576125,0.9359375,0.9566875,0.849875,0.9388125,0.9306875,0.9534375
0.5759375,0.9206875,0.9566875,0.849875,0.9346875,0.9611875,0.93875
0.575875,0.94075,0.9566875,0.849875,0.922875,0.937125,0.9210625
0.57575,0.9348125,0.9566875,0.849875,0.92675,0.938375,0.9475
0.5755,0.9218125,0.9566875,0.849875,0.9229375,0.9444375,0.9274375
0.5756249999999999,0.9188125,0.9566875,0.849875,0.919125,0.92725,0.9355
0.5756249999999999,0.92325,0.9566875,0.849875,0.9196875,0.9505,0.93775
0.5752499999999999,0.9388125,0.9566875,0.849875,0.9268125,0.8995,0.929125
0.5755,0.9428124999999999,0.9566875,0.849875,0.941,0.9278125,0.9235
0.5754374999999999,0.9428124999999999,0.9566875,0.849875,0.9439375,0.927375,0.956875
0.5761875,0.927875,0.9566875,0.849875,0.948625,0.9523125,0.9540625
0.5756249999999999,0.941375,0.9566875,0.849875,0.9029375000000001,0.95575,0.9328125
0.575125,0.9231874999999999,0.9566875,0.849875,0.94025,0.9255625,0.929375
0.5753125,0.9270625,0.9566875,0.849875,0.941125,0.9263125,0.9398125
0.5755,0.9285,0.9566875,0.849875,0.941875,0.941625,0.9395
0.575875,0.925375,0.9566875,0.849875,0.9471875,0.9235,0.9364375
0.5753125,0.939,0.9566875,0.849875,0.9286875,0.909875,0.9364375
0.5759375,0.9529375,0.9566875,0.849875,0.9290625,0.9385,0.93725
0.57575,0.9211875,0.9566875,0.849875,0.93725,0.8795625,0.9498125000000001
0.5756875,0.929125,0.9566875,0.849875,0.94275,0.92575,0.942625
0.5763125,0.9344375,0.9566875,0.849875,0.903125,0.9183125,0.916125
0.57575,0.9193125,0.9566875,0.849875,0.9449375,0.9335,0.9358125
0.57575,0.9283750000000001,0.9566875,0.849875,0.9386875,0.9045625,0.938875
0.5758125,0.9305625,0.9566875,0.849875,0.9493125,0.9614375000000001,0.9216875
0.575875,0.923625,0.9566875,0.849875,0.93525,0.9405,0.9486875
0.5752499999999999,0.9409375,0.9566875,0.849875,0.9246875,0.957375,0.936875
0.5752499999999999,0.9193749999999999,0.9566875,0.849875,0.944375,0.921625,0.925
0.5750624999999999,0.9281875,0.9566875,0.849875,0.925625,0.9278125,0.936125
0.5751875000000001,0.9293125,0.9566875,0.849875,0.942625,0.913625,0.9256875
0.5751875000000001,0.92875,0.9566875,0.849875,0.9301875000000001,0.9393125,0.9470625
0.5759375,0.9450625,0.9566875,0.849875,0.9186875,0.92625,0.947875
0.5755,0.923625,0.9566875,0.849875,0.9260625,0.9509375,0.93625
0.5756249999999999,0.924125,0.9566875,0.849875,0.921,0.9351875,0.9329999999999999
0.5755625,0.92475,0.9566875,0.849875,0.9235,0.94625,0.9274375
0.5756875,0.9283750000000001,0.9566875,0.849875,0.9189375,0.9266875,0.93975
0.5754374999999999,0.9328125,0.9566875,0.849875,0.93925,0.9451875,0.93325
0.5756875,0.93975,0.9566875,0.849875,0.9385625,0.9384375,0.9369999999999999
0.5753750000000001,0.925875,0.9566875,0.849875,0.94475,0.9549375,0.9305625
0.5750000000000001,0.9415625,0.9566875,0.849875,0.9335625,0.9263750000000001,0.9375625
0.5753125,0.9418125,0.9566875,0.849875,0.9365625,0.9530625,0.95725
0.57575,0.949375,0.9566875,0.849875,0.9256875,0.9334375,0.9430625
0.5756875,0.9175625,0.9566875,0.849875,0.9306875,0.9544375,0.933375
0.57575,0.9258125,0.9566875,0.849875,0.946125,0.9239375,0.9245625
0.5760625,0.9369375,0.9566875,0.849875,0.915875,0.9540625,0.967625
0.575875,0.9276875,0.9566875,0.849875,0.9415,0.9236875,0.959
0.5752499999999999,0.945875,0.9566875,0.849875,0.9300625,0.9215,0.926125
0.5759375,0.926125,0.9566875,0.849875,0.922875,0.9403125,0.9525625
0.5753125,0.926875,0.9566875,0.849875,0.9133125,0.940375,0.940375
0.5753125,0.9390625,0.9566875,0.849875,0.938625,0.9228125,0.9510625
0.5759375,0.9268125,0.9566875,0.849875,0.9384375,0.942375,0.934625
0.57575,0.9385625,0.9566875,0.849875,0.912875,0.9173749999999999,0.9578125
0.5755,0.924,0.9566875,0.849875,0.9305625,0.9408125,0.9489375
0.5752499999999999,0.91875,0.9566875,0.849875,0.9420625,0.948,0.9453125
0.5755,0.9430625,0.9566875,0.849875,0.932125,0.9070625,0.926625
0.5753750000000001,0.928,0.9566875,0.849875,0.9244375,0.937625,0.9430625
0.5752499999999999,0.942625,0.9566875,0.849875,0.94625,0.9309375,0.9381875000000001
0.5752499999999999,0.9400625,0.9566875,0.849875,0.9370625,0.9505,0.9401875
0.5753750000000001,0.945375,0.9566875,0.849875,0.9369999999999999,0.939375,0.9485
0.5753750000000001,0.9185,0.9566875,0.849875,0.9456875,0.9451875,0.9374375
0.5753750000000001,0.9260625,0.9566875,0.849875,0.9080625,0.9475,0.936625
0.5754374999999999,0.9445625,0.9566875,0.849875,0.9295,0.949125,0.9439375
0.576,0.94075,0.9566875,0.849875,0.9295625,0.9405625,0.9466875
0.5756875,0.935125,0.9566875,0.849875,0.9298125,0.9395,0.944625
0.5754374999999999,0.9240625,0.9566875,0.849875,0.936625,0.945625,0.9335625
0.5754374999999999,0.9225,0.9566875,0.849875,0.93875,0.9444375,0.9353125
0.5753750000000001,0.9285,0.9566875,0.849875,0.9384375,0.9511875,0.93575
0.575125,0.942875,0.9566875,0.849875,0.9343125,0.9321875000000001,0.941625
0.5759375,0.9424375,0.9566875,0.849875,0.9359375,0.943,0.941625
0.5756875,0.9294375,0.9566875,0.849875,0.9355,0.9205,0.9433125
0.5758125,0.935375,0.9566875,0.849875,0.9465625,0.9424375,0.9268125
0.5753125,0.923,0.9566875,0.849875,0.9435,0.9338125,0.9526249999999999
0.5754374999999999,0.925875,0.9566875,0.849875,0.9289375,0.9165625000000001,0.9380625
0.5758125,0.9441875,0.9566875,0.849875,0.9530625,0.945625,0.92225
0.575875,0.9525625,0.9566875,0.849875,0.922,0.9255625,0.9303750000000001
0.5753750000000001,0.9464375,0.9566875,0.849875,0.9305,0.942875,0.94075
0.5749375,0.9208125,0.9566875,0.849875,0.94675,0.937125,0.9458125000000001
0.576,0.9328125,0.9566875,0.849875,0.916,0.940625,0.955875
0.5755,0.9466875,0.9566875,0.849875,0.935375,0.9641875,0.9501875
0.5756249999999999,0.9303125,0.9566875,0.849875,0.9303125,0.9526249999999999,0.9279375
0.5755,0.93975,0.9566875,0.849875,0.932375,0.9454375,0.9373125
0.5751875000000001,0.9236875,0.9566875,0.849875,0.9200625,0.925875,0.932375
0.5750000000000001,0.9305,0.9566875,0.849875,0.9443125,0.9308125,0.93825
0.5755625,0.923125,0.9566875,0.849875,0.95075,0.951375,0.9315
0.5753750000000001,0.9420625,0.9566875,0.849875,0.9371875,0.9450625,0.926625
0.5755,0.9596875,0.9566875,0.849875,0.933875,0.9190625,0.9419375
0.575875,0.9296875,0.9566875,0.849875,0.932,0.9525,0.93275
0.5760625,0.939125,0.9566875,0.849875,0.9258125,0.921,0.9556250000000001
0.5752499999999999,0.9438125,0.9566875,0.849875,0.9208125,0.9228125,0.9351875
0.5755625,0.9263750000000001,0.9566875,0.849875,0.9486875,0.9518125,0.9528125
0.57575,0.92425,0.9566875,0.849875,0.931625,0.9329375,0.9520625
0.5755,0.9300625,0.9566875,0.849875,0.9444375,0.945375,0.942875
0.5755,0.924875,0.9566875,0.849875,0.941125,0.9478125000000001,0.93575
0.576,0.9381875000000001,0.9566875,0.849875,0.9326875,0.9368125,0.9335625
0.5758125,0.92675,0.9566875,0.849875,0.9331875,0.9289375,0.9360625
0.57575,0.9279375,0.9566875,0.849875,0.92125,0.9134375,0.9294375
0.5756249999999999,0.9263125,0.9566875,0.849875,0.935875,0.933625,0.9476875
0.5756875,0.934375,0.9566875,0.849875,0.9286875,0.96075,0.9556875
0.5756249999999999,0.93875,0.9566875,0.849875,0.9120625,0.9266875,0.931375
0.576,0.919875,0.9566875,0.849875,0.9288125,0.9530625,0.94125
0.576,0.929125,0.9566875,0.849875,0.93075,0.9365625,0.9475625
0.575125,0.92725,0.9566875,0.849875,0.9221875,0.9065625,0.94475
0.5751875000000001,0.936,0.9566875,0.849875,0.9215,0.955125,0.94175
0.5756875,0.9325625,0.9566875,0.849875,0.9185,0.9383125,0.9379375
0.5760625,0.9330625,0.9566875,0.849875,0.9205625000000001,0.9318125,0.93675
0.5753750000000001,0.9225625000000001,0.9566875,0.849875,0.937125,0.9136875,0.9354375
0.5754374999999999,0.9278125,0.9566875,0.849875,0.9316875,0.9421875,0.93425
0.5753125,0.93025,0.9566875,0.849875,0.93975,0.937625,0.943625
0.5758125,0.9383125,0.9566875,0.849875,0.9391875,0.9239375,0.9531875
0.5755625,0.9223125,0.9566875,0.849875,0.9300625,0.932375,0.92775
0.5755625,0.9254375,0.9566875,0.849875,0.9279375,0.9453125,0.940125
0.5755,0.926875,0.9566875,0.849875,0.9373125,0.95575,0.936875
